id,title,type,organizer,location,deadline,link,source,tags
1,Startup India Seed Fund Scheme,Grant,DPIIT,Pan India,Ongoing,https://seedfund.startupindia.gov.in/,Startup India,"On-site, Seed Stage, Funded"
2,Fund of Funds for Startups,Grant,SIDBI / DPIIT,Pan India,Ongoing,https://www.startupindia.gov.in,Startup India,"On-site, Any Stage, Funded"
3,Atal Innovation Mission,Accelerator,NITI Aayog,Pan India,Ongoing,https://aim.gov.in/,Startup India,"On-site, Any Stage"
4,MSME Innovative Scheme – Incubation,Accelerator,Ministry of MSME,Pan India,Ongoing,https://msme.gov.in/,Startup India,"On-site, Any Stage"
5,BIRAC BIG Grant,Grant,BIRAC,Pan India,Ongoing,https://birac.nic.in/big.php,Startup India,"On-site, Any Stage, Funded"
6,TIDE 2.0,Accelerator,MeitY,Pan India,Ongoing,https://tide20.meity.gov.in/,Startup India,"On-site, Any Stage"
7,SAMRIDH Accelerator,Accelerator,MeitY,Pan India,Ongoing,https://samridh.meity.gov.in/,Startup India,"On-site, Any Stage"
8,Stand-Up India Scheme,Loan/Credit,Ministry of Finance,Pan India,Ongoing,https://www.standupmitra.in/,Startup India,"On-site, Any Stage"
9,PM MUDRA Yojana,Loan/Credit,Ministry of Finance,Pan India,Ongoing,https://www.mudra.org.in/,Startup India,"On-site, Any Stage"
10,DST NIDHI Programme,Grant,DST,Pan India,Ongoing,https://nidhi.dst.gov.in/,Startup India,"On-site, Any Stage, Funded"
11,Kerala Startup Mission Grants,Grant,Govt of Kerala,Pan India,Ongoing,https://startupmission.kerala.gov.in/,Startup India,"On-site, Any Stage, Funded"
12,T-Hub Hyderabad,Accelerator,Govt of Telangana,Pan India,Ongoing,https://t-hub.co/,Startup India,"On-site, Any Stage"
13,iStart Rajasthan,Scheme,Govt of Rajasthan,Pan India,Ongoing,https://istart.rajasthan.gov.in/,Startup India,"On-site, Any Stage"
14,UP Startup Policy Fund,Grant,Govt of UP,Pan India,Ongoing,https://startup.up.gov.in/,Startup India,"On-site, Any Stage, Funded"
15,Fund of Funds for Startups (FFS),Grant,SIDBI / DPIIT,Pan India,Ongoing,https://www.startupindia.gov.in/content/sih/en/fund_of_funds.html,Startup India,"On-site, Any Stage, Funded"
16,Credit Guarantee Scheme for Startups,Loan/Credit,DPIIT,Pan India,Ongoing,https://www.startupindia.gov.in/content/sih/en/cgss.html,Startup India,"On-site, Any Stage"
17,Karnataka Startup Policy – KBITS,Grant,Govt of Karnataka,Pan India,Ongoing,https://www.kbits.kar.nic.in/,Startup India,"On-site, Any Stage, Funded"
18,Startup Odisha Seed Grant,Grant,Govt of Odisha,Pan India,Ongoing,https://startupodisha.gov.in/,Startup India,"On-site, Seed Stage, Funded"
19,iCreate Gujarat,Accelerator,Govt of Gujarat,Pan India,Ongoing,https://icreate.org.in/,Startup India,"On-site, Any Stage"
20,National SC-ST Hub Scheme,Scheme,Ministry of MSME,Pan India,Ongoing,https://scsthub.in/,Startup India,"On-site, Any Stage"
21,Digital India – Startup Support,Scheme,MeitY,Pan India,Ongoing,https://www.digitalindia.gov.in/,Startup India,"On-site, Any Stage"
22,PRISM – DST Innovation Grant,Grant,DST,Pan India,Ongoing,https://dst.gov.in/,Startup India,"On-site, Any Stage, Funded"
23,Startup Tamil Nadu,Accelerator,Govt of Tamil Nadu,Pan India,Ongoing,https://startuptn.in/,Startup India,"On-site, Any Stage"
24,WE Hub – Women Entrepreneurship,Accelerator,Govt of Telangana,Pan India,Ongoing,https://wehub.telangana.gov.in/,Startup India,"On-site, Any Stage"
25,Maharashtra Startup Week Programme,Scheme,Govt of Maharashtra,Pan India,Ongoing,https://startup.maharashtra.gov.in/,Startup India,"On-site, Any Stage"
